Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range,Information Technology,Telecommunications,Engineering,Sciences,Finance,Healthcare,Management,Consulting,Logistics,Civil,Others,python,java,scala,hadoop,sql,spark,tensor,scikit,linux,pytorch,theano,caffe,Matlab,perl,deep,nlp,apache,mapreduce,aws,azure,container,kafka,cassandra,julia,jupyter,nltk,tableau,power bi,sas,pandas,git,hive,impala,agile,machine,bash,natural language,oracle,cloud,flask,golang,optimization,c#,opencv,vision,api,jira
MCF-2020-0045240,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,,Professional,Sciences  Laboratory  R&D,visualizations effectively. data- perform transformation data optimization based integrity security data phd computer science mathematics / electrical engineering engineering data solving working field statistics data mining manipulation learning languages python r matlab java sql working cross-functional environment written verbal communication independently well teams highly desired,4500.0,9000.0,6750.0,High,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
MCF-2020-0045289,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,,Professional,Sciences  Laboratory  R&D,biomarker detection analysis 2/3/ image segmentation image detection phd computer science statistics data deep learning applied expertise one healthcare topics segmentation independently well teams highly desired communication proposals reports publications proficiency spoken written english one tensorflow pytorch theano caffe cntk strong programming abilities (e.g. perl bash c/c++ java python r matlab) machine learning scale plus,4500.0,9000.0,6750.0,High,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0045282,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,,Professional,Sciences  Laboratory  R&D,biomarker detection analysis 2/3/ image segmentation image detection phd computer science statistics data deep learning applied expertise one healthcare topics segmentation independently well teams highly desired communication proposals reports publications proficiency spoken written english one tensorflow pytorch theano caffe cntk strong programming abilities (e.g. perl bash c/c++ java python r matlab) machine learning scale plus,4500.0,9000.0,6750.0,High,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,3,Professional,Information Technology,lead designing processes analyse structured unstructured data sources services subject matter experts (smes) drive analytical enable ensuring applying data intelligence data sources interpret findings analysis experiments models analysis across range tracking actions analyse impact business outcomes implementation deployment analytics cluster performance degree quantitative field (statistics science ). research quantitative field plus. 3-5 working data sets statistical excellent understanding machine learning techniques algorithms logistic various data ( .e. - & engineering well evaluation validation) libraries r python ( scikit) sql matlab data visualization techniques tools familiarity data science limited products (e.g. ) data mining data (oral written) strong player learn fast- problems nosql databases hbase distributed like hive . working tools scripting languages bash deep learning frameworks,6500.0,12000.0,9250.0,High,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
MCF-2020-0072203,Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,Posted 26 Mar 2020,2,Professional,Consulting Engineering Information Technology,develop architecture data ingestion processing solutions. provide customers data analytics intelligence. engineer infrastructure big- real- detection . background computer science engineering. . deep predictive data analytics. industry data science -structured non- . python . additional java .net plus. understanding software development life cycle requirements testing deployment. sound machine learning (ml) learning ( ) models plus. plus. exposure big eg. apache spark. aws.,3500.0,6000.0,4750.0,Med,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Manager,Information Technology,data mining data documents identify patterns intelligence (ai) machine learning (ml) engines - ai ml information retrieval ( ) research apply state- - - scale real documentation staff phd computer 5 software development background ai science passionate ai- one programming languages (e.g. python c/c++ .) /modules large- processing analytics publication,5500.0,8250.0,6875.0,High,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0072378,Contract Permanent,Research Engineer (Deep Learning 2.0) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,,Fresh/entry level,Sciences  Laboratory  R&D,minimum bachelor computer science statistics data science intensive fields expertise one : corporate application oriented environments plus independently well teams highly desired communication proposals reports publications one tensor caffe cntk. strong programming abilities (e.g. perl bash c/c++ java python r matlab) computer vision deep learning desirable,3900.0,7800.0,5850.0,Med,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MCF-2020-0071969,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Manager,Information Technology,language processing (nlp) algorithms models analysis e.g. - resolution application nlp information retrieval ( ) research apply state- - - scale real documentation staff phd computer 5 software development background nlp ai one programming languages (e.g. python c/c++ .) /modules large- processing analytics publication,5500.0,8250.0,6875.0,High,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MCF-2020-0072375,Contract Permanent,Senior /  Research Engineer (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,,Professional,Sciences  Laboratory  R&D,biomarker detection clustering . 2/ segmentation image detection bachelors masters computer science statistics data science intensive fields strong deep learning applied expertise one healthcare topics detection image . independently well teams highly desired. communication proposals reports publications. proficiency spoken written english. strong programming abilities (e.g. perl bash c/c++ java python r matlab). one tensorflow pytorch theano caffe cntk machine learning scale plus,3900.0,7800.0,5850.0,Med,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MCF-2020-0072372,Contract Permanent,Senior /  Research Engineer (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,,Fresh/entry level,Sciences  Laboratory  R&D,biomarker detection clustering . 2/ segmentation image detection bachelors masters computer science statistics data science intensive fields strong deep learning applied expertise one healthcare topics detection image . independently well teams highly desired. communication proposals reports publications. proficiency spoken written english. strong programming abilities (e.g. perl bash c/c++ java python r matlab). one tensorflow pytorch theano caffe cntk machine learning scale plus,3000.0,5500.0,4250.0,Low,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
